city,area,rooms,bathroom,parking,floor,animal,furniture,total
São Paulo,70.0,2,1,1,7,acept,furnished,5618.0
São Paulo,320.0,4,4,0,20,acept,not furnished,7973.0
Porto Alegre,80.0,1,1,1,6,acept,not furnished,3841.0
Porto Alegre,51.0,2,1,0,2,acept,not furnished,1421.0
São Paulo,25.0,1,1,0,1,not acept,not furnished,836.0
São Paulo,376.0,3,3,7,0,acept,not furnished,8955.0
Rio de Janeiro,72.0,2,1,0,7,acept,not furnished,2750.0
São Paulo,213.0,4,4,4,4,acept,not furnished,7253.0
São Paulo,152.0,2,2,1,3,acept,furnished,16440.0
Rio de Janeiro,35.0,1,1,0,2,acept,furnished,2955.0
São Paulo,26.0,1,1,0,2,acept,furnished,2747.0
Campinas,46.0,1,1,1,10,acept,not furnished,1181.0
São Paulo,36.0,1,1,0,11,acept,not furnished,2556.0
São Paulo,55.0,1,1,1,2,acept,furnished,5268.0
São Paulo,100.0,2,2,2,24,acept,furnished,5343.0
Campinas,330.0,4,6,6,0,acept,furnished,9129.0
São Paulo,110.0,2,2,1,1,acept,not furnished,3861.0
Rio de Janeiro,88.0,2,3,1,9,not acept,furnished,5351.0
Rio de Janeiro,56.0,2,1,0,8,acept,not furnished,2036.0
São Paulo,600.0,4,5,6,0,acept,not furnished,21680.0
São Paulo,100.0,7,4,0,0,acept,not furnished,3976.0
Belo Horizonte,42.0,1,1,1,17,not acept,furnished,3368.0
São Paulo,160.0,3,2,2,18,acept,furnished,3622.0
São Paulo,35.0,1,1,0,0,acept,not furnished,1117.0
Rio de Janeiro,90.0,3,2,1,7,acept,not furnished,2742.0
São Paulo,49.0,1,1,1,10,acept,not furnished,4067.0
São Paulo,41.0,1,1,1,5,not acept,furnished,3639.0
Belo Horizonte,64.0,2,2,1,11,acept,not furnished,1952.0
Campinas,208.0,3,2,4,0,acept,not furnished,3328.0
São Paulo,20.0,1,1,0,5,acept,furnished,2555.0
São Paulo,55.0,2,2,2,6,acept,not furnished,2004.0
São Paulo,32.0,1,1,0,3,acept,not furnished,2266.0
São Paulo,80.0,2,2,1,11,acept,not furnished,4007.0
Rio de Janeiro,45.0,1,1,1,10,acept,furnished,5576.0
São Paulo,350.0,4,4,3,8,acept,not furnished,6651.0
Porto Alegre,38.0,1,1,2,11,not acept,not furnished,2226.0
São Paulo,30.0,1,1,0,1,acept,not furnished,2081.0
Belo Horizonte,80.0,3,2,1,0,acept,not furnished,11610.0
São Paulo,70.0,2,1,0,0,not acept,not furnished,1227.0
Porto Alegre,40.0,1,1,1,6,acept,furnished,3424.0
São Paulo,300.0,4,6,4,20,acept,not furnished,17440.0
São Paulo,240.0,3,2,3,0,acept,not furnished,3845.0
Belo Horizonte,200.0,4,2,1,7,not acept,not furnished,3443.0
Belo Horizonte,45.0,1,1,1,5,acept,not furnished,2335.0
São Paulo,360.0,4,5,0,1,acept,not furnished,12490.0
São Paulo,40.0,1,1,1,10,acept,furnished,3840.0
Belo Horizonte,100.0,3,1,0,13,not acept,not furnished,1947.0
Porto Alegre,42.0,1,1,2,2,acept,furnished,2003.0
Campinas,250.0,3,3,2,1,acept,not furnished,4178.0
Campinas,48.0,1,1,1,2,acept,furnished,2185.0
Rio de Janeiro,90.0,3,3,1,10,acept,not furnished,5246.0
São Paulo,45.0,1,2,1,15,acept,furnished,4956.0
Rio de Janeiro,150.0,2,3,4,6,acept,not furnished,6452.0
São Paulo,60.0,2,1,0,2,acept,not furnished,1664.0
São Paulo,31.0,1,1,0,4,acept,not furnished,2806.0
São Paulo,210.0,4,5,4,4,not acept,not furnished,11540.0
São Paulo,280.0,3,1,2,0,acept,not furnished,6204.0
Campinas,93.0,2,3,2,9,acept,not furnished,6366.0
Porto Alegre,75.0,3,2,1,9,acept,not furnished,2276.0
São Paulo,194.0,3,4,3,0,acept,not furnished,4131.0
São Paulo,41.0,1,1,1,6,acept,furnished,4705.0
Rio de Janeiro,65.0,1,1,1,8,acept,furnished,7416.0
São Paulo,70.0,2,1,1,13,acept,not furnished,3006.0
São Paulo,278.0,4,5,2,16,acept,furnished,14430.0
Rio de Janeiro,35.0,1,1,0,5,acept,not furnished,1868.0
Campinas,300.0,4,4,3,2,acept,not furnished,8794.0
São Paulo,61.0,2,1,1,4,acept,not furnished,2333.0
Rio de Janeiro,130.0,3,2,1,7,acept,not furnished,3857.0
Rio de Janeiro,80.0,2,1,1,20,acept,not furnished,1502.0
São Paulo,164.0,4,4,2,6,not acept,not furnished,7609.0
Belo Horizonte,220.0,4,2,3,3,acept,not furnished,3030.0
São Paulo,45.0,1,1,0,0,acept,not furnished,1112.0
São Paulo,108.0,3,2,2,7,acept,not furnished,7396.0
Belo Horizonte,128.0,1,1,0,4,acept,furnished,2728.0
Rio de Janeiro,60.0,1,1,0,10,not acept,not furnished,2322.0
São Paulo,250.0,4,5,4,6,acept,not furnished,12970.0
Porto Alegre,47.0,1,1,1,1,not acept,furnished,2633.0
Belo Horizonte,170.0,4,3,4,9,not acept,not furnished,3776.0
São Paulo,45.0,1,1,0,1,not acept,not furnished,1556.0
São Paulo,42.0,1,1,1,15,acept,not furnished,4354.0
São Paulo,164.0,4,4,3,1,acept,not furnished,8467.0
São Paulo,70.0,3,1,1,1,acept,not furnished,1933.0
Porto Alegre,100.0,4,3,1,8,acept,not furnished,2992.0
São Paulo,64.0,2,2,2,4,acept,furnished,6298.0
Belo Horizonte,68.0,2,1,1,3,acept,not furnished,1563.0
Belo Horizonte,75.0,2,2,2,14,not acept,not furnished,3418.0
São Paulo,600.0,4,4,4,9,acept,not furnished,19380.0
São Paulo,63.0,2,2,0,15,not acept,not furnished,2312.0
São Paulo,145.0,3,4,3,1,not acept,not furnished,8027.0
São Paulo,85.0,2,2,2,3,not acept,not furnished,4628.0
São Paulo,254.0,4,4,4,7,acept,not furnished,14280.0
