city_1,city_2,city_3,city_4,city_5,area,rooms,bathroom,parking,floor,animal_1,animal_2,furniture_1,furniture_2,total
1,0,0,0,0,70.0,2,1,1,7,1,0,1,0,5618.0
1,0,0,0,0,320.0,4,4,0,20,1,0,0,1,7973.0
0,1,0,0,0,80.0,1,1,1,6,1,0,0,1,3841.0
0,1,0,0,0,51.0,2,1,0,2,1,0,0,1,1421.0
1,0,0,0,0,25.0,1,1,0,1,0,1,0,1,836.0
1,0,0,0,0,376.0,3,3,7,0,1,0,0,1,8955.0
0,0,1,0,0,72.0,2,1,0,7,1,0,0,1,2750.0
1,0,0,0,0,213.0,4,4,4,4,1,0,0,1,7253.0
1,0,0,0,0,152.0,2,2,1,3,1,0,1,0,16440.0
0,0,1,0,0,35.0,1,1,0,2,1,0,1,0,2955.0
1,0,0,0,0,26.0,1,1,0,2,1,0,1,0,2747.0
0,0,0,1,0,46.0,1,1,1,10,1,0,0,1,1181.0
1,0,0,0,0,36.0,1,1,0,11,1,0,0,1,2556.0
1,0,0,0,0,55.0,1,1,1,2,1,0,1,0,5268.0
1,0,0,0,0,100.0,2,2,2,24,1,0,1,0,5343.0
0,0,0,1,0,330.0,4,6,6,0,1,0,1,0,9129.0
1,0,0,0,0,110.0,2,2,1,1,1,0,0,1,3861.0
0,0,1,0,0,88.0,2,3,1,9,0,1,1,0,5351.0
0,0,1,0,0,56.0,2,1,0,8,1,0,0,1,2036.0
1,0,0,0,0,600.0,4,5,6,0,1,0,0,1,21680.0
1,0,0,0,0,100.0,7,4,0,0,1,0,0,1,3976.0
0,0,0,0,1,42.0,1,1,1,17,0,1,1,0,3368.0
1,0,0,0,0,160.0,3,2,2,18,1,0,1,0,3622.0
1,0,0,0,0,35.0,1,1,0,0,1,0,0,1,1117.0
0,0,1,0,0,90.0,3,2,1,7,1,0,0,1,2742.0
1,0,0,0,0,49.0,1,1,1,10,1,0,0,1,4067.0
1,0,0,0,0,41.0,1,1,1,5,0,1,1,0,3639.0
0,0,0,0,1,64.0,2,2,1,11,1,0,0,1,1952.0
0,0,0,1,0,208.0,3,2,4,0,1,0,0,1,3328.0
1,0,0,0,0,20.0,1,1,0,5,1,0,1,0,2555.0
1,0,0,0,0,55.0,2,2,2,6,1,0,0,1,2004.0
1,0,0,0,0,32.0,1,1,0,3,1,0,0,1,2266.0
1,0,0,0,0,80.0,2,2,1,11,1,0,0,1,4007.0
0,0,1,0,0,45.0,1,1,1,10,1,0,1,0,5576.0
1,0,0,0,0,350.0,4,4,3,8,1,0,0,1,6651.0
0,1,0,0,0,38.0,1,1,2,11,0,1,0,1,2226.0
1,0,0,0,0,30.0,1,1,0,1,1,0,0,1,2081.0
0,0,0,0,1,80.0,3,2,1,0,1,0,0,1,11610.0
1,0,0,0,0,70.0,2,1,0,0,0,1,0,1,1227.0
0,1,0,0,0,40.0,1,1,1,6,1,0,1,0,3424.0
1,0,0,0,0,300.0,4,6,4,20,1,0,0,1,17440.0
1,0,0,0,0,240.0,3,2,3,0,1,0,0,1,3845.0
0,0,0,0,1,200.0,4,2,1,7,0,1,0,1,3443.0
0,0,0,0,1,45.0,1,1,1,5,1,0,0,1,2335.0
1,0,0,0,0,360.0,4,5,0,1,1,0,0,1,12490.0
1,0,0,0,0,40.0,1,1,1,10,1,0,1,0,3840.0
0,0,0,0,1,100.0,3,1,0,13,0,1,0,1,1947.0
0,1,0,0,0,42.0,1,1,2,2,1,0,1,0,2003.0
0,0,0,1,0,250.0,3,3,2,1,1,0,0,1,4178.0
0,0,0,1,0,48.0,1,1,1,2,1,0,1,0,2185.0
0,0,1,0,0,90.0,3,3,1,10,1,0,0,1,5246.0
1,0,0,0,0,45.0,1,2,1,15,1,0,1,0,4956.0
0,0,1,0,0,150.0,2,3,4,6,1,0,0,1,6452.0
1,0,0,0,0,60.0,2,1,0,2,1,0,0,1,1664.0
1,0,0,0,0,31.0,1,1,0,4,1,0,0,1,2806.0
1,0,0,0,0,210.0,4,5,4,4,0,1,0,1,11540.0
1,0,0,0,0,280.0,3,1,2,0,1,0,0,1,6204.0
0,0,0,1,0,93.0,2,3,2,9,1,0,0,1,6366.0
0,1,0,0,0,75.0,3,2,1,9,1,0,0,1,2276.0
1,0,0,0,0,194.0,3,4,3,0,1,0,0,1,4131.0
1,0,0,0,0,41.0,1,1,1,6,1,0,1,0,4705.0
0,0,1,0,0,65.0,1,1,1,8,1,0,1,0,7416.0
1,0,0,0,0,70.0,2,1,1,13,1,0,0,1,3006.0
1,0,0,0,0,278.0,4,5,2,16,1,0,1,0,14430.0
0,0,1,0,0,35.0,1,1,0,5,1,0,0,1,1868.0
0,0,0,1,0,300.0,4,4,3,2,1,0,0,1,8794.0
1,0,0,0,0,61.0,2,1,1,4,1,0,0,1,2333.0
0,0,1,0,0,130.0,3,2,1,7,1,0,0,1,3857.0
0,0,1,0,0,80.0,2,1,1,20,1,0,0,1,1502.0
1,0,0,0,0,164.0,4,4,2,6,0,1,0,1,7609.0
0,0,0,0,1,220.0,4,2,3,3,1,0,0,1,3030.0
1,0,0,0,0,45.0,1,1,0,0,1,0,0,1,1112.0
1,0,0,0,0,108.0,3,2,2,7,1,0,0,1,7396.0
0,0,0,0,1,128.0,1,1,0,4,1,0,1,0,2728.0
0,0,1,0,0,60.0,1,1,0,10,0,1,0,1,2322.0
1,0,0,0,0,250.0,4,5,4,6,1,0,0,1,12970.0
0,1,0,0,0,47.0,1,1,1,1,0,1,1,0,2633.0
0,0,0,0,1,170.0,4,3,4,9,0,1,0,1,3776.0
1,0,0,0,0,45.0,1,1,0,1,0,1,0,1,1556.0
1,0,0,0,0,42.0,1,1,1,15,1,0,0,1,4354.0
1,0,0,0,0,164.0,4,4,3,1,1,0,0,1,8467.0
1,0,0,0,0,70.0,3,1,1,1,1,0,0,1,1933.0
0,1,0,0,0,100.0,4,3,1,8,1,0,0,1,2992.0
1,0,0,0,0,64.0,2,2,2,4,1,0,1,0,6298.0
0,0,0,0,1,68.0,2,1,1,3,1,0,0,1,1563.0
0,0,0,0,1,75.0,2,2,2,14,0,1,0,1,3418.0
1,0,0,0,0,600.0,4,4,4,9,1,0,0,1,19380.0
1,0,0,0,0,63.0,2,2,0,15,0,1,0,1,2312.0
1,0,0,0,0,145.0,3,4,3,1,0,1,0,1,8027.0
1,0,0,0,0,85.0,2,2,2,3,0,1,0,1,4628.0
1,0,0,0,0,254.0,4,4,4,7,1,0,0,1,14280.0
0,1,0,0,0,350.0,4,4,4,0,1,0,1,0,9520.0
1,0,0,0,0,300.0,4,4,3,0,1,0,0,1,4137.0
0,0,0,0,1,296.0,4,3,2,0,1,0,0,1,14150.0
1,0,0,0,0,64.0,2,2,2,8,1,0,0,1,3316.0
1,0,0,0,0,133.0,3,2,0,6,1,0,0,1,3846.0
0,0,0,1,0,44.0,1,1,0,7,1,0,0,1,919.0
0,0,0,1,0,240.0,3,4,2,0,1,0,0,1,3296.0
0,1,0,0,0,70.0,3,2,1,4,1,0,0,1,3035.0
1,0,0,0,0,22.0,1,1,0,26,1,0,0,1,2423.0
0,1,0,0,0,50.0,1,1,1,1,1,0,0,1,1364.0
0,1,0,0,0,67.0,3,2,2,4,1,0,0,1,2883.0
1,0,0,0,0,31.0,1,1,0,6,1,0,1,0,2760.0
0,0,1,0,0,90.0,2,1,1,1,1,0,1,0,4554.0
0,0,1,0,0,109.0,3,3,1,1,1,0,0,1,6149.0
0,0,0,0,1,400.0,4,2,2,0,0,1,0,1,2615.0
1,0,0,0,0,300.0,4,5,4,0,1,0,1,0,15380.0
0,0,0,1,0,284.0,4,3,3,4,1,0,0,1,8900.0
0,1,0,0,0,70.0,2,1,1,3,1,0,1,0,2826.0
0,0,1,0,0,309.0,4,5,4,7,1,0,0,1,9927.0
1,0,0,0,0,70.0,2,1,0,0,1,0,0,1,2266.0
1,0,0,0,0,360.0,3,4,1,10,1,0,0,1,13010.0
1,0,0,0,0,30.0,1,1,1,10,0,1,0,1,2406.0
0,0,0,1,0,80.0,2,2,2,11,1,0,0,1,3231.0
0,0,0,0,1,133.0,4,4,3,6,0,1,0,1,9394.0
1,0,0,0,0,38.0,1,1,1,14,0,1,1,0,4735.0
1,0,0,0,0,73.0,2,2,1,7,1,0,0,1,4745.0
1,0,0,0,0,155.0,3,4,2,4,1,0,0,1,3676.0
1,0,0,0,0,63.0,2,2,1,15,1,0,0,1,3648.0
1,0,0,0,0,58.0,2,1,1,1,1,0,0,1,1418.0
1,0,0,0,0,48.0,1,1,0,9,0,1,1,0,3871.0
1,0,0,0,0,210.0,3,4,3,7,1,0,0,1,5360.0
0,0,0,0,1,100.0,3,2,2,2,1,0,0,1,2145.0
1,0,0,0,0,94.0,3,2,2,1,1,0,0,1,5093.0
1,0,0,0,0,94.0,3,3,2,3,1,0,1,0,6689.0
1,0,0,0,0,76.0,3,1,1,4,1,0,0,1,3999.0
1,0,0,0,0,192.0,3,3,2,13,1,0,0,1,10630.0
1,0,0,0,0,217.0,3,4,3,1,1,0,0,1,9467.0
1,0,0,0,0,68.0,2,1,1,5,1,0,0,1,2063.0
1,0,0,0,0,110.0,3,2,2,2,1,0,0,1,3823.0
0,0,0,0,1,95.0,2,2,1,3,1,0,0,1,2446.0
1,0,0,0,0,900.0,4,6,8,0,1,0,0,1,19640.0
1,0,0,0,0,34.0,1,1,0,5,0,1,0,1,1608.0
1,0,0,0,0,192.0,3,4,3,5,1,0,0,1,10100.0
0,1,0,0,0,62.0,2,2,1,9,1,0,0,1,2252.0
1,0,0,0,0,180.0,3,3,4,0,1,0,0,1,3940.0
0,0,0,1,0,44.0,1,1,0,3,1,0,1,0,1290.0
0,0,0,0,1,100.0,2,1,1,1,0,1,0,1,2089.0
0,0,1,0,0,140.0,3,3,1,24,0,1,0,1,2388.0
1,0,0,0,0,170.0,3,3,3,8,1,0,1,0,5054.0
1,0,0,0,0,100.0,3,2,2,0,0,1,0,1,1775.0
1,0,0,0,0,75.0,3,2,2,4,1,0,0,1,2355.0
0,0,1,0,0,52.0,2,1,0,2,1,0,0,1,1459.0
0,0,0,1,0,999.0,5,7,8,0,1,0,0,1,14880.0
1,0,0,0,0,270.0,4,4,4,8,1,0,0,1,10790.0
0,0,0,0,1,50.0,2,1,1,1,1,0,0,1,1163.0
0,0,0,1,0,200.0,3,3,2,0,1,0,0,1,3078.0
1,0,0,0,0,71.0,2,2,0,16,1,0,0,1,2475.0
1,0,0,0,0,500.0,5,4,6,0,1,0,0,1,13450.0
1,0,0,0,0,60.0,2,1,0,0,1,0,0,1,1191.0
1,0,0,0,0,110.0,2,1,0,8,1,0,0,1,2501.0
1,0,0,0,0,210.0,3,3,4,0,1,0,0,1,3620.0
1,0,0,0,0,220.0,3,4,3,8,1,0,0,1,9094.0
0,0,0,0,1,200.0,3,2,5,0,0,1,0,1,4270.0
1,0,0,0,0,130.0,3,4,3,2,1,0,0,1,7106.0
1,0,0,0,0,65.0,2,2,2,7,1,0,1,0,5333.0
1,0,0,0,0,96.0,3,2,2,17,1,0,0,1,4295.0
1,0,0,0,0,660.0,4,5,5,12,1,0,1,0,26800.0
0,0,1,0,0,107.0,3,2,0,7,1,0,1,0,4972.0
0,0,1,0,0,105.0,3,2,0,1,1,0,0,1,2978.0
